,ANO,UF,CARGO,SIGLA,TOTAL,MULHERES,PARDOS,BRANCOS,PRETOS,AMARELOS,INDÍGENAS,MULHERES PARDAS,MULHERES BRANCAS,MULHERES PRETAS,MULHERES AMARELAS,MULHERES INDÍGENAS,%MULHERES,%PARDOS,%MULHERES ENTRE PARDOS,%BRANCOS,%MULHERES ENTRE BRANCOS,%PRETOS,%MULHERES ENTRE PRETOS,%AMARELOS,%MULHERES ENTRE AMARELOS,%INDÍGENAS,%MULHERES ENTRE INDÍGENAS
0,2014,AC,DEPUTADO ESTADUAL,PRP,36,10,36,0,0,0,0,10,0,0,0,0,0.2777777777777778,1.0,0.2777777777777778,0.0,,0.0,,0.0,,0.0,
1,2014,AC,DEPUTADO ESTADUAL,PTB,3,0,3,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,
2,2014,AC,DEPUTADO ESTADUAL,PC do B,13,5,13,0,0,0,0,5,0,0,0,0,0.38461538461538464,1.0,0.38461538461538464,0.0,,0.0,,0.0,,0.0,
3,2014,AC,DEPUTADO ESTADUAL,PSOL,10,3,7,3,0,0,0,1,2,0,0,0,0.3,0.7,0.14285714285714285,0.3,0.6666666666666666,0.0,,0.0,,0.0,
4,2014,AC,DEPUTADO ESTADUAL,PV,26,8,18,5,3,0,0,3,4,1,0,0,0.3076923076923077,0.6923076923076923,0.16666666666666666,0.19230769230769232,0.8,0.11538461538461539,0.3333333333333333,0.0,,0.0,
5,2014,AC,DEPUTADO ESTADUAL,PT,28,10,14,9,5,0,0,4,5,1,0,0,0.35714285714285715,0.5,0.2857142857142857,0.32142857142857145,0.5555555555555556,0.17857142857142858,0.2,0.0,,0.0,
6,2014,AC,DEPUTADO ESTADUAL,PEN,6,1,4,1,1,0,0,0,0,1,0,0,0.16666666666666666,0.6666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,1.0,0.0,,0.0,
7,2014,AC,DEPUTADO ESTADUAL,PRB,20,4,16,3,1,0,0,3,1,0,0,0,0.2,0.8,0.1875,0.15,0.3333333333333333,0.05,0.0,0.0,,0.0,
8,2014,AC,DEPUTADO ESTADUAL,PSD,26,8,15,7,4,0,0,3,4,1,0,0,0.3076923076923077,0.5769230769230769,0.2,0.2692307692307692,0.5714285714285714,0.15384615384615385,0.25,0.0,,0.0,
9,2014,AC,DEPUTADO ESTADUAL,PDT,36,11,27,7,2,0,0,6,4,1,0,0,0.3055555555555556,0.75,0.2222222222222222,0.19444444444444445,0.5714285714285714,0.05555555555555555,0.5,0.0,,0.0,
10,2014,AC,DEPUTADO ESTADUAL,PTC,4,2,2,1,0,1,0,0,1,0,1,0,0.5,0.5,0.0,0.25,1.0,0.0,,0.25,1.0,0.0,
11,2014,AC,DEPUTADO ESTADUAL,PMN,6,2,4,1,1,0,0,1,1,0,0,0,0.3333333333333333,0.6666666666666666,0.25,0.16666666666666666,1.0,0.16666666666666666,0.0,0.0,,0.0,
12,2014,AC,DEPUTADO ESTADUAL,DEM,30,10,20,0,10,0,0,8,0,2,0,0,0.3333333333333333,0.6666666666666666,0.4,0.0,,0.3333333333333333,0.2,0.0,,0.0,
13,2014,AC,DEPUTADO ESTADUAL,PSB,32,10,29,1,2,0,0,9,1,0,0,0,0.3125,0.90625,0.3103448275862069,0.03125,1.0,0.0625,0.0,0.0,,0.0,
14,2014,AC,DEPUTADO ESTADUAL,PPS,23,7,17,6,0,0,0,6,1,0,0,0,0.30434782608695654,0.7391304347826086,0.35294117647058826,0.2608695652173913,0.16666666666666666,0.0,,0.0,,0.0,
15,2014,AC,DEPUTADO ESTADUAL,PSDC,32,10,16,6,9,1,0,5,2,2,1,0,0.3125,0.5,0.3125,0.1875,0.3333333333333333,0.28125,0.2222222222222222,0.03125,1.0,0.0,
16,2014,AC,DEPUTADO ESTADUAL,PR,25,8,25,0,0,0,0,8,0,0,0,0,0.32,1.0,0.32,0.0,,0.0,,0.0,,0.0,
17,2014,AC,DEPUTADO ESTADUAL,PSC,15,4,8,4,1,2,0,1,0,1,2,0,0.26666666666666666,0.5333333333333333,0.125,0.26666666666666666,0.0,0.06666666666666667,1.0,0.13333333333333333,1.0,0.0,
18,2014,AC,DEPUTADO ESTADUAL,PSDB,26,6,19,4,3,0,0,6,0,0,0,0,0.23076923076923078,0.7307692307692307,0.3157894736842105,0.15384615384615385,0.0,0.11538461538461539,0.0,0.0,,0.0,
19,2014,AC,DEPUTADO ESTADUAL,PTN,22,8,22,0,0,0,0,8,0,0,0,0,0.36363636363636365,1.0,0.36363636363636365,0.0,,0.0,,0.0,,0.0,
